Name,Team,GrossSalary
Stephen Curry,GSW,55761216
Kawhi Leonard,LAC,52368085
Nikola Jokić,DEN,51415938
Joel Embiid,PHI,51415938
LeBron James,LAL,51415938
Kevin Durant,PHO,51179021
Bradley Beal,PHO,50203930
Jaylen Brown,BOS,49700000
Devin Booker,PHO,49700000
Karl-Anthony Towns,MIN,49245000
Jimmy Butler,MIA,48798677
Giannis Antetokounmpo,MIL,48787676
Damian Lillard,MIL,48787676
Paul George,LAC,48787676
Rudy Gobert,MIN,43827586
Anthony Davis,LAL,43219440
Trae Young,ATL,43031940
Luka Dončić,DAL,43031940
Zach LaVine,CHI,43031940
Fred VanVleet,HOU,42846615
Anthony Edwards,MIN,42300000
Tyrese Haliburton,IND,42300000
Domantas Sabonis,SAC,41800000
Ben Simmons,BRK,40338144
Kyrie Irving,DAL,40000000
Zion Williamson,NOP,36725670
Ja Morant,MEM,36725670
Darius Garland,CLE,36725670
Brandon Ingram,NOP,36016200
Jamal Murray,DEN,36016200
Shai Gilgeous-Alexander,OKC,35859950
Michael Porter Jr.,DEN,35859950
Donovan Mitchell,CLE,35410310
LaMelo Ball,CHO,35250000
De'Aaron Fox,SAC,34848340
Bam Adebayo,MIA,34848340
Jayson Tatum,BOS,34848340
Desmond Bane,MEM,34005250
Deandre Ayton,POR,34005126
CJ McCollum,NOP,33333333
Khris Middleton,MIL,31666667
Julius Randle,NYK,30317760
Jrue Holiday,BOS,30000000
Jerami Grant,POR,29793104
Jordan Poole,WAS,29651786
Devin Vassell,SAS,29347826
Kristaps Porziņģis,BOS,29268293
Tyler Herro,MIA,29000000
John Collins,UTA,26580000
Andrew Wiggins,GSW,26276786
Anfernee Simons,POR,25892857
RJ Barrett,TOR,25794643
Dejounte Murray,ATL,25499599
Jaren Jackson Jr.,MEM,25257798
Jalen Brunson,NYK,24960001
Terry Rozier,MIA,24924126
Draymond Green,GSW,24107143
Aaron Gordon,DEN,23841455
Cameron Johnson,BRK,23625000
Kyle Kuzma,WAS,23522727
Mikal Bridges,BRK,23300000
Bruce Brown,TOR,23000000
Brook Lopez,MIL,23000000
Jaden McDaniels,MIN,22586207
Malcolm Brogdon,POR,22500000
Clint Capela,ATL,22265280
Dillon Brooks,HOU,22255493
De'Andre Hunter,ATL,21696429
Lonzo Ball,CHI,21395348
Marcus Smart,MEM,20210284
Nikola Vučević,CHI,20000000
Jarrett Allen,CLE,20000000
OG Anunoby,NYK,19928571
Myles Turner,IND,19928500
Derrick White,BOS,19571429
Jakob Poeltl,TOR,19500000
Duncan Robinson,MIA,19406000
Norman Powell,LAC,19241379
Bojan Bogdanović,NYK,19032850
Keldon Johnson,SAS,19000000
Evan Fournier,DET,19000000
D'Angelo Russell,LAL,18692307
Collin Sexton,UTA,18150000
Josh Hart,NYK,18144000
Jusuf Nurkić,PHO,18125000
Lauri Markkanen,UTA,18044544
Harrison Barnes,SAC,18000000
Jonathan Isaac,ORL,17400000
Bogdan Bogdanović,ATL,17260000
Rui Hachimura,LAL,17000000
